Player,Pos,90s,Crs,Crosses_per_90
Brenden Aaronson,MF,0.8,1,1.25
Thelo Aasgaard,MF,1.0,0,0.0
Hamza Abdelkarim,FW,0.7,0,0.0
Yusuf Abdurisag,FW,1.1,0,0.0
ChÃ© Adams,FW,1.6,0,0.0
Jayden Adams,MF,1.3,0,0.0
Tyler Adams,MF,3.8,0,0.0
Ali Ahmed,MF,2.6,13,5.0
Yunus AkgÃ¼n,MF,1.0,2,2.0
Maghnes Akliouche,MF,0.1,1,10.0
Kerem AktÃ¼rkoÄlu,FW,1.4,1,0.7142857142857143
Ahmed Alaaeldin,FW,0.5,0,0.0
Kerim AlajbegoviÄ,MF,3.1,15,4.838709677419355
Jordy Alcivar,MF,0.5,1,2.0
Almoez Ali,FW,0.2,0,0.0
Mohanad Ali,FW,0.1,0,0.0
Khojiakbar Alijonov,MF,1.5,5,3.3333333333333335
Ali Alipour,FW,0.4,0,0.0
Thiago Almada,MF,2.7,1,0.37037037037037035
JuliÃ¡n Ãlvarez,FW,6.7,2,0.29850746268656714
Ayoube Amaimouni,MF,0.2,1,5.0
Nadiem Amiri,MF,0.5,2,4.0
Amir Al Ammari,MF,2.7,8,2.962962962962963
Azizbek Amonov,FW,0.2,1,5.0
Sofyan Amrabat,MF,1.6,0,0.0
Youssef Amyn,MF,0.3,0,0.0
Elliot Anderson,MF,7.0,8,1.1428571428571428
Nilson Angulo,MF,2.4,5,2.0833333333333335
Houssem Aouar,MF,1.9,0,0.0
Telmo Arcanjo,MF,0.6,1,1.6666666666666667
Ãlex Arce,FW,0.6,0,0.0
Jhon Arias,MF,4.2,5,1.1904761904761905
Marko ArnautoviÄ,FW,1.6,0,0.0
Emam Ashour,MF,4.0,4,1.0
Marwan Attia,MF,4.8,11,2.291666666666667
Gabriel Ãvalos,FW,1.6,0,0.0
Yasin Ayari,MF,3.8,19,5.0
Jordan Ayew,FW,3.3,10,3.0303030303030303
Neil El Aynaoui,MF,6.2,0,0.0
Ali Azaizeh,MF,0.6,1,1.6666666666666667
Juninho Bacuna,MF,2.8,5,1.7857142857142858
Leandro Bacuna,MF,3.0,4,1.3333333333333333
Esmir Bajraktarevic,MF,2.6,8,3.0769230769230766
CÃ©dric Bakambu,FW,2.1,1,0.47619047619047616
Folarin Balogun,FW,3.5,0,0.0
Yoel BÃ¡rcenas,MF,2.8,7,2.5
Bradley Barcola,MF,4.3,3,0.6976744186046512
Ivan BaÅ¡iÄ,MF,2.0,12,6.0
Samed BaÅ¾dar,FW,0.3,0,0.0
Aziz Behich,MF,2.4,6,2.5
Joe Bell,MF,2.7,0,0.0
Jean-Ricner Bellegarde,MF,2.9,10,3.4482758620689657
Jude Bellingham,MF,6.8,8,1.1764705882352942
Nadhir Benbouali,FW,0.5,0,0.0
Gilson Benchimol,FW,0.9,0,0.0
Nabil Bentaleb,MF,3.2,3,0.9375
Rodrigo Bentancur,MF,3.0,4,1.3333333333333333
Patrick Berg,MF,4.9,11,2.2448979591836733
Sander Berge,MF,5.3,1,0.18867924528301888
Lucas Bergvall,MF,2.0,3,1.5
Sebastian Berhalter,MF,2.1,11,5.238095238095238
Alexander Bernhardsson,MF,2.4,3,1.25
DamiÃ¡n Bobadilla,MF,2.1,1,0.47619047619047616
Oscar Bobb,FW,2.5,2,0.8
Ange-Yoan Bonny,FW,2.6,1,0.3846153846153846
Ayyoub Bouaddi,MF,4.2,0,0.0
Hicham Boudaoui,MF,1.4,1,0.7142857142857143
Karim Boudiaf,MF,1.1,0,0.0
Adil Boulbina,FW,0.2,0,0.0
Brian Brobbey,FW,2.5,1,0.4
Tajon Buchanan,MF,4.2,16,3.8095238095238093
Ante Budimir,FW,1.7,0,0.0
Firas Al-Buraikan,FW,2.6,0,0.0
DÅ¾enis BurniÄ,MF,0.2,0,0.0
Jovane Cabral,FW,1.5,1,0.6666666666666666
Jordy Caicedo,FW,0.2,0,0.0
MoisÃ©s Caicedo,MF,4.0,17,4.25
Hakan ÃalhanoÄlu,MF,2.0,10,5.0
Lamine Camara,MF,2.8,7,2.5
AgustÃ­n Canobbio,FW,2.5,8,3.2
Casemiro,MF,4.2,5,1.1904761904761905
JosuÃ© Casimir,MF,2.0,3,1.5
Kevin CastaÃ±o,MF,0.2,0,0.0
Jens Castrop,MF,0.5,3,6.0
LukÃ¡Å¡ Äerv,MF,1.8,0,0.0
Fares ChaÃ¯bi,MF,4.0,6,1.5
Firas Chaouat,FW,0.5,0,0.0
Luis ChÃ¡vez,MF,0.3,1,3.3333333333333335
Rayan Cherki,MF,1.4,1,0.7142857142857143
Mathieu ChoiniÃ¨re,MF,0.6,4,6.666666666666667
Tahith Chong,MF,2.7,1,0.37037037037037035
TomÃ¡Å¡ ChorÃ½,FW,0.3,0,0.0
Ryan Christie,MF,1.1,1,0.9090909090909091
Carney Chukwuemeka,MF,0.9,0,0.0
MojmÃ­r Chytil,FW,0.1,0,0.0
Livano Comenencia,MF,2.6,1,0.3846153846153846
Francisco ConceiÃ§Ã£o,MF,1.4,3,2.142857142857143
Jhon CÃ³rdoba,FW,1.1,0,0.0
Nuno da Costa,FW,1.8,1,0.5555555555555556
Samu Costa,MF,0.2,0,0.0
AndrÃ©s Cubas,MF,5.3,0,0.0
Matheus Cunha,FW,3.2,4,1.25
Findlay Curtis,MF,0.1,1,10.0
VladimÃ­r Darida,MF,0.6,0,0.0
Jonathan David,FW,4.7,3,0.6382978723404255
Promise David,FW,0.9,0,0.0
Nasser Al-Dawsari,MF,2.3,1,0.4347826086956522
Salem Al-Dawsari,MF,2.7,3,1.111111111111111
Kevin De Bruyne,MF,4.2,21,5.0
NicolÃ¡s De La Cruz,MF,1.0,5,5.0
