Player,Pos,90s,Crs,Crosses_per_90
MojmÃ­r Chytil,FW,0.1,0,0.0
Hamza Abdelkarim,FW,0.7,0,0.0
Brian Brobbey,FW,2.5,1,0.4
Jhon CÃ³rdoba,FW,1.1,0,0.0
Gilson Benchimol,FW,0.9,0,0.0
Firas Chaouat,FW,0.5,0,0.0
Ãlex Arce,FW,0.6,0,0.0
Nicolas Jackson,FW,2.6,1,0.3846153846153846
Ahmed Alaaeldin,FW,0.5,0,0.0
Gabriel Ãvalos,FW,1.6,0,0.0
Santiago GimÃ©nez,FW,1.0,0,0.0
Matheus Cunha,FW,3.2,4,1.25
Oh Hyeon-gyu,FW,1.4,1,0.7142857142857143
Promise David,FW,0.9,0,0.0
Alexander Isak,FW,4.0,3,0.75
Cody Gakpo,FW,4.1,12,2.9268292682926833
Lenny Joseph,FW,1.3,0,0.0
Kai Havertz,FW,3.9,1,0.25641025641025644
Deniz GÃ¼l,FW,0.4,0,0.0
Breel Embolo,FW,5.6,1,0.17857142857142858
Azizbek Amonov,FW,0.2,1,5.0
Adam HloÅ¾ek,FW,1.7,0,0.0
Almoez Ali,FW,0.2,0,0.0
Gavi,FW,0.8,2,2.5
Jonathan David,FW,4.7,3,0.6382978723404255
Hwang Hee-chan,FW,1.2,0,0.0
Endrick,FW,1.3,0,0.0
Cho Gue-sung,FW,0.3,0,0.0
Samed BaÅ¾dar,FW,0.3,0,0.0
Edin DÅ¾eko,FW,2.0,0,0.0
Viktor GyÃ¶keres,FW,4.0,1,0.25
Lee Kang-in,FW,3.0,19,6.333333333333333
Ali Alipour,FW,0.4,0,0.0
Armando GonzÃ¡lez,FW,0.2,0,0.0
Michael Gregoritsch,FW,2.1,0,0.0
Oscar Bobb,FW,2.5,2,0.8
Ayman Hussein,FW,1.3,0,0.0
Jovane Cabral,FW,1.5,1,0.6666666666666666
Lyle Foster,FW,0.6,0,0.0
Jordan Ayew,FW,3.3,10,3.0303030303030303
Ayoub El Kaabi,FW,0.8,0,0.0
Kerem AktÃ¼rkoÄlu,FW,1.4,1,0.7142857142857143
Nadhir Benbouali,FW,0.5,0,0.0
Bamba Dieng,FW,0.1,0,0.0
JuliÃ¡n Ãlvarez,FW,6.7,2,0.29850746268656714
Amirhossein Hosseinzadeh,FW,0.2,0,0.0
Mohanad Ali,FW,0.1,0,0.0
Ermedin DemiroviÄ,FW,3.9,0,0.0
RaÃºl JimÃ©nez,FW,3.5,0,0.0
Ali Al Hamadi,FW,2.0,0,0.0
Bruno Fernandes,MF,4.7,22,4.680851063829787
VladimÃ­r Darida,MF,0.6,0,0.0
Jeremy Doku,MF,3.4,6,1.7647058823529411
Ousmane DembÃ©lÃ©,MF,6.6,34,5.151515151515151
Pape Gueye,MF,2.6,3,1.1538461538461537
Yoel BÃ¡rcenas,MF,2.8,7,2.5
JoÃ£o FÃ©lix,MF,2.2,4,1.8181818181818181
Zidane Iqbal,MF,2.1,2,0.9523809523809523
Abbosbek Fayzullayev,MF,2.4,10,4.166666666666667
Danley Jean-Jacques,MF,2.9,1,0.3448275862068966
Telmo Arcanjo,MF,0.6,1,1.6666666666666667
Eberechi Eze,MF,2.3,2,0.8695652173913044
Youssef Amyn,MF,0.3,0,0.0
Hassan Al-Haydos,MF,0.6,0,0.0
Neil El Aynaoui,MF,6.2,0,0.0
Bradley Barcola,MF,4.3,3,0.6976744186046512
Anis Hadj Moussa,MF,1.1,5,4.545454545454545
Jassem Gaber,MF,1.7,0,0.0
Rani Khedira,MF,1.7,0,0.0
Assane Diao,MF,0.1,0,0.0
Ãlvaro Fidalgo,MF,1.1,4,3.6363636363636362
Houssem Aouar,MF,1.9,0,0.0
Nadiem Amiri,MF,0.5,2,4.0
Khojiakbar Alijonov,MF,1.5,5,3.3333333333333335
Ivan BaÅ¡iÄ,MF,2.0,12,6.0
IsmaÃ«l Gharbi,MF,1.4,1,0.7142857142857143
Findlay Curtis,MF,0.1,1,10.0
Jens Castrop,MF,0.5,3,6.0
Lamine Camara,MF,2.8,7,2.5
Enzo FernÃ¡ndez,MF,7.3,5,0.684931506849315
Hicham Boudaoui,MF,1.4,1,0.7142857142857143
Jesper KarlstrÃ¶m,MF,1.5,0,0.0
LukÃ¡Å¡ Äerv,MF,1.8,0,0.0
Ali Jasim,MF,1.4,4,2.857142857142857
Haissem Hassan,MF,1.4,9,6.428571428571429
Ajdin Hrustic,MF,0.9,5,5.555555555555555
Jordan Henderson,MF,0.1,2,20.0
Samu Costa,MF,0.2,0,0.0
Alexander Bernhardsson,MF,2.4,3,1.25
Juninho Bacuna,MF,2.8,5,1.7857142857142858
Zaid Ismail,MF,1.3,0,0.0
Habib Diarra,MF,1.6,1,0.625
Christ Inao OulaÃ¯,MF,2.3,0,0.0
Nabil Bentaleb,MF,3.2,3,0.9375
Louicius Deedson,MF,1.2,4,3.3333333333333335
Marwan Attia,MF,4.8,11,2.291666666666667
Junya ItÅ,MF,2.4,17,7.083333333333334
Laros Duarte,MF,1.8,2,1.1111111111111112
Ayoube Amaimouni,MF,0.2,1,5.0
Mathieu ChoiniÃ¨re,MF,0.6,4,6.666666666666667
