Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
454,Raúl Jiménez,FW,mx Mexico,35,1991,3.5,3,18,7,38.9,5.11,1.99,0.17,0.43,1,1,Matches,b561db50,38.88888888888889,0.011111111111105743
36,Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,1.4,0,3,1,33.3,2.09,0.7,0.0,0.0,0,0,Matches,f28659fb,33.33333333333333,0.03333333333333144
400,Kai Havertz,FW,de Germany,27,1999,3.9,3,12,7,58.3,3.06,1.78,0.25,0.43,1,1,Matches,fed7cb61,58.333333333333336,0.033333333333338544
462,Vinicius Júnior,FW,br Brazil,25,2000,4.9,4,17,11,64.7,3.48,2.25,0.24,0.36,0,0,Matches,7111d552,64.70588235294117,0.005882352941171121
353,Amine Gouiri,FW,dz Algeria,26,2000,2.8,1,3,2,66.7,1.08,0.72,0.33,0.5,0,0,Matches,aad56ca3,66.66666666666666,0.03333333333334565
435,Wilson Isidor,FW,ht Haiti,25,2000,2.1,1,5,2,40.0,2.42,0.97,0.2,0.5,0,0,Matches,a671316d,40.0,0.0
227,Jonathan David,FW,ca Canada,26,2000,4.7,3,18,8,44.4,3.86,1.71,0.17,0.38,0,0,Matches,ce50fd99,44.44444444444444,0.04444444444444429
945,Ferran Torres,FW,es Spain,26,2000,3.2,1,14,4,28.6,4.37,1.25,0.07,0.25,0,0,Matches,9e1035f8,28.57142857142857,0.028571428571432023
103,Folarin Balogun,FW,us USA,24,2001,3.5,3,14,5,35.7,4.04,1.44,0.21,0.6,0,0,Matches,31822f8c,35.714285714285715,0.014285714285712459
245,Ermedin Demirović,FW,ba Bosnia–Herz,28,1998,3.9,0,4,4,100.0,1.02,1.02,0.0,0.0,0,0,Matches,ed79b7d3,100.0,0.0
658,Iliman Ndiaye,FW,sn Senegal,26,2000,1.3,1,3,2,66.7,2.37,1.58,0.33,0.5,0,0,Matches,5ed97752,66.66666666666666,0.03333333333334565
469,Saša Kalajdžić,FW,at Austria,28,1997,0.9,1,4,1,25.0,4.68,1.17,0.25,1.0,0,0,Matches,15f24fe7,25.0,0.0
913,Alexander Sørloth,FW,no Norway,30,1995,3.7,0,5,0,0.0,1.34,0.0,0.0,,0,0,Matches,e92cd3f7,0.0,0.0
474,Lee Kang-in,FW,kr Korea Republic,25,2001,3.0,0,4,1,25.0,1.33,0.33,0.0,0.0,0,0,Matches,8455ad90,25.0,0.0
914,Musa Al-Taamari,FW,jo Jordan,29,1997,2.4,1,8,3,37.5,3.35,1.26,0.13,0.33,0,0,Matches,f15f8b2b,37.5,0.0
584,Fiston Mayele,FW,cd Congo DR,31,1994,0.5,1,5,1,20.0,10.71,2.14,0.2,1.0,0,0,Matches,0d113a00,20.0,0.0
958,Deniz Undav,FW,de Germany,29,1996,1.7,3,6,4,66.7,3.58,2.38,0.5,0.75,0,0,Matches,dd549382,66.66666666666666,0.03333333333334565
817,Ismael Saibari,FW,ma Morocco,25,2001,4.2,3,10,3,30.0,2.36,0.71,0.3,1.0,0,0,Matches,3ec9f005,30.0,0.0
725,Ricardo Pepi,FW,us USA,23,2003,2.3,0,5,0,0.0,2.21,0.0,0.0,,0,0,Matches,a2b1ed42,0.0,0.0
560,Donyell Malen,FW,nl Netherlands,27,1999,2.1,0,4,2,50.0,1.95,0.97,0.0,0.0,0,0,Matches,116c35df,50.0,0.0
220,Matheus Cunha,FW,br Brazil,27,1999,3.2,3,11,5,45.5,3.41,1.55,0.27,0.6,0,0,Matches,dc62b55d,45.45454545454545,0.045454545454546746
863,Lawrence Shankland,FW,sct Scotland,30,1995,1.9,0,4,0,0.0,2.11,0.0,0.0,,0,0,Matches,63b1a176,0.0,0.0
140,Oscar Bobb,FW,no Norway,22,2003,2.5,0,4,2,50.0,1.6,0.8,0.0,0.0,0,0,Matches,eed2427e,50.0,0.0
613,Lionel Messi,FW,ar Argentina,38,1987,8.2,8,35,18,51.4,4.26,2.19,0.23,0.44,0,2,Matches,d70ce98e,51.42857142857142,0.028571428571424917
473,Harry Kane,FW,eng England,32,1993,7.2,6,23,12,52.2,3.17,1.66,0.26,0.5,2,2,Matches,21a66f6a,52.17391304347826,0.026086956521744753
839,Andreas Schjelderup,FW,no Norway,22,2004,2.8,1,3,2,66.7,1.07,0.71,0.33,0.5,0,0,Matches,a427724f,66.66666666666666,0.03333333333334565
578,Hazem Mastouri,FW,tn Tunisia,28,1997,1.0,1,3,2,66.7,3.03,2.02,0.33,0.5,0,0,Matches,c88f913e,66.66666666666666,0.03333333333334565
724,Nicolas Pépé,FW,ci Côte d'Ivoire,31,1995,2.6,2,6,3,50.0,2.31,1.15,0.33,0.67,0,0,Matches,57e3f0c7,50.0,0.0
285,Endrick,FW,br Brazil,19,2006,1.3,0,3,0,0.0,2.37,0.0,0.0,,0,0,Matches,a2728fbf,0.0,0.0
558,Evidence Makgopa,FW,za South Africa,26,2000,2.4,0,4,3,75.0,1.67,1.26,0.0,0.0,0,0,Matches,4d76d03b,75.0,0.0
732,Frantzdy Pierrot,FW,ht Haiti,31,1995,1.6,0,3,1,33.3,1.89,0.63,0.0,0.0,0,0,Matches,307877be,33.33333333333333,0.03333333333333144
1009,Chris Wood,FW,nz New Zealand,34,1991,3.0,0,5,2,40.0,1.67,0.67,0.0,0.0,0,0,Matches,4e9a0555,40.0,0.0
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,1,3,1,33.3,1.74,0.58,0.33,1.0,0,0,Matches,8f3565b3,33.33333333333333,0.03333333333333144
677,Antonio Nusa,FW,no Norway,21,2005,3.5,1,6,2,33.3,1.7,0.57,0.17,0.5,0,0,Matches,4ab12002,33.33333333333333,0.03333333333333144
707,Mikel Oyarzabal,FW,es Spain,29,1997,6.7,5,23,12,52.2,3.44,1.8,0.22,0.42,1,1,Matches,8c3c640c,52.17391304347826,0.026086956521744753
372,Viktor Gyökeres,FW,se Sweden,28,1998,4.0,1,12,6,50.0,3.0,1.5,0.08,0.17,0,0,Matches,4d5a9185,50.0,0.0
897,Luis Suárez,FW,co Colombia,28,1997,3.7,0,9,0,0.0,2.45,0.0,0.0,,0,0,Matches,eeba07f8,0.0,0.0
423,Ayman Hussein,FW,iq Iraq,30,1996,1.3,1,3,1,33.3,2.35,0.78,0.33,1.0,0,0,Matches,8b574de7,33.33333333333333,0.03333333333333144
582,Jean-Philippe Mateta,FW,fr France,28,1997,0.3,0,3,1,33.3,11.25,3.75,0.0,0.0,0,0,Matches,50e6dc35,33.33333333333333,0.03333333333333144
276,Edin Džeko,FW,ba Bosnia–Herz,40,1986,2.0,0,3,0,0.0,1.53,0.0,0.0,,0,0,Matches,3bb7f478,0.0,0.0
983,Denis Višinský,FW,cz Czechia,23,2003,0.6,0,3,0,0.0,4.91,0.0,0.0,,0,0,Matches,d5aac0e9,0.0,0.0
101,Cédric Bakambu,FW,cd Congo DR,35,1991,2.1,0,3,0,0.0,1.42,0.0,0.0,,0,0,Matches,0af4dcf0,0.0,0.0
324,Cody Gakpo,FW,nl Netherlands,27,1999,4.1,3,10,6,60.0,2.45,1.47,0.3,0.5,0,0,Matches,1971591f,60.0,0.0
544,Jovo Lukić,FW,ba Bosnia–Herz,27,1998,0.7,1,3,2,66.7,4.03,2.69,0.33,0.5,0,0,Matches,a2056e82,66.66666666666666,0.03333333333334565
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,1,4,1,25.0,1.61,0.4,0.25,1.0,0,0,Matches,4f5a2f38,25.0,0.0
868,Eldor Shomurodov,FW,uz Uzbekistan,30,1995,3.0,1,4,2,50.0,1.34,0.67,0.25,0.5,0,0,Matches,57469b2d,50.0,0.0
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,3,4,3,75.0,1.61,1.21,0.75,1.0,0,0,Matches,4c184730,75.0,0.0
520,Cyle Larin,FW,ca Canada,31,1995,2.1,2,9,4,44.4,4.26,1.89,0.22,0.5,0,0,Matches,e7af9060,44.44444444444444,0.04444444444444429
956,Ayase Ueda,FW,jp Japan,27,1998,3.6,2,9,4,44.4,2.52,1.12,0.22,0.5,0,0,Matches,c0295327,44.44444444444444,0.04444444444444429
759,Soufiane Rahimi,FW,ma Morocco,30,1996,1.8,2,6,4,66.7,3.31,2.21,0.33,0.5,0,0,Matches,f126a259,66.66666666666666,0.03333333333334565
693,Dani Olmo,MF,es Spain,28,1998,5.5,0,13,2,15.4,2.38,0.37,0.0,0.0,0,0,Matches,ae44e8e2,15.384615384615385,0.01538461538461533
712,Lucas Paquetá,MF,br Brazil,28,1997,2.6,0,5,1,20.0,1.93,0.39,0.0,0.0,0,0,Matches,9b6f7fd5,20.0,0.0
