Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
1,Brenden Aaronson,MF,us USA,25,2000,0.8,0,3,1,33.3,3.55,1.18,0.0,0.0,0,0,Matches,5bc43860,33.33333333333333,0.03333333333333144
36,Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,1.4,0,3,1,33.3,2.09,0.7,0.0,0.0,0,0,Matches,f28659fb,33.33333333333333,0.03333333333333144
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18,2007,3.1,1,4,1,25.0,1.3,0.32,0.25,1.0,0,0,Matches,f3d9291e,25.0,0.0
49,Thiago Almada,MF,ar Argentina,25,2001,2.7,0,5,2,40.0,1.87,0.75,0.0,0.0,0,0,Matches,27f33438,40.0,0.0
55,Julián Álvarez,FW,ar Argentina,26,2000,6.7,1,11,5,45.5,1.64,0.75,0.09,0.2,0,0,Matches,15ab5a2b,45.45454545454545,0.045454545454546746
66,Elliot Anderson,MF,eng England,23,2002,7.0,0,7,1,14.3,1.0,0.14,0.0,0.0,0,0,Matches,de31038e,14.285714285714285,0.014285714285716011
72,Houssem Aouar,MF,dz Algeria,27,1998,1.9,0,3,1,33.3,1.56,0.52,0.0,0.0,0,0,Matches,a5db0bec,33.33333333333333,0.03333333333333144
81,Jhon Arias,MF,co Colombia,28,1997,4.2,1,9,4,44.4,2.15,0.95,0.11,0.25,0,0,Matches,86d96066,44.44444444444444,0.04444444444444429
83,Marko Arnautović,FW,at Austria,37,1989,1.6,2,3,3,100.0,1.87,1.87,0.67,0.67,1,1,Matches,00459419,100.0,0.0
85,Emam Ashour,MF,eg Egypt,28,1998,4.0,2,10,2,20.0,2.49,0.5,0.2,1.0,0,0,Matches,31b7d437,20.0,0.0
88,Marwan Attia,MF,eg Egypt,27,1998,4.8,0,4,0,0.0,0.83,0.0,0.0,,0,0,Matches,1ea3d7ec,0.0,0.0
91,Yasin Ayari,MF,se Sweden,22,2003,3.8,2,7,3,42.9,1.86,0.8,0.29,0.67,0,0,Matches,f173303a,42.857142857142854,0.04285714285714448
95,Neil El Aynaoui,MF,ma Morocco,24,2001,6.2,0,7,2,28.6,1.12,0.32,0.0,0.0,0,0,Matches,17e1261b,28.57142857142857,0.028571428571432023
97,Juninho Bacuna,MF,cw Curaçao,28,1997,2.8,0,5,1,20.0,1.77,0.35,0.0,0.0,0,0,Matches,aaf1bf05,20.0,0.0
98,Leandro Bacuna,MF,cw Curaçao,34,1991,3.0,0,6,1,16.7,2.0,0.33,0.0,0.0,0,0,Matches,9dc69d38,16.666666666666664,0.03333333333333499
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2005,2.6,0,3,2,66.7,1.17,0.78,0.0,0.0,0,0,Matches,dff24174,66.66666666666666,0.03333333333334565
101,Cédric Bakambu,FW,cd Congo DR,35,1991,2.1,0,3,0,0.0,1.42,0.0,0.0,,0,0,Matches,0af4dcf0,0.0,0.0
103,Folarin Balogun,FW,us USA,24,2001,3.5,3,14,5,35.7,4.04,1.44,0.21,0.6,0,0,Matches,31822f8c,35.714285714285715,0.014285714285712459
107,Bradley Barcola,MF,fr France,23,2002,4.3,3,10,5,50.0,2.34,1.17,0.3,0.6,0,0,Matches,a0d55a09,50.0,0.0
109,Ivan Bašić,MF,ba Bosnia–Herz,24,2002,2.0,0,4,0,0.0,2.01,0.0,0.0,,0,0,Matches,9b0a0d51,0.0,0.0
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,2.9,0,6,0,0.0,2.08,0.0,0.0,,0,0,Matches,10f0fdd3,0.0,0.0
123,Jude Bellingham,MF,eng England,22,2003,6.8,7,19,13,68.4,2.79,1.91,0.37,0.54,0,0,Matches,57d88cf9,68.42105263157895,0.02105263157893944
